ID	IDX	DOCULECT	DOCULECTID	CONCEPT	CONCEPT_FROM_PROTO	CONCEPT_ADDED	VALUE	VALUE_UNCERTAIN	TOKENS	NOTE	PROTOFORM	PROTOCONCEPT	ENTRY_IN_SOURCE
1	§1	Kakataibo	Ksh	fazer,  matar	1		ʔa-		ʔ a		*ʔak-	fazer,  matar	Ksh ʔa-
2	§1	ShipiboKonibo	SK	fazer,  matar	1		ʔa-		ʔ a		*ʔak-	fazer,  matar	SK ʔa-
3	§1	Kapanawa	Kp	fazer,  matar	1		ʔa-		ʔ a		*ʔak-	fazer,  matar	Kp ʔa-
4	§1	Marúbo	Mar	fazer,  matar	1		a-		a		*ʔak-	fazer,  matar	Mar a-
5	§1	Chákobo	Ch	fazer,  matar	1		ʔa-		ʔ a		*ʔak-	fazer,  matar	Ch ʔa-
6	§1	Kaxararí	Kax	fazer,  matar	1		a-		a		*ʔak-	fazer,  matar	Kax a-
7	§1	Yamináwa	Yam	fazer,  matar	1		ak-		a k		*ʔak-	fazer,  matar	Yam ak-
8	§1	Chanináwa	Chan	fazer,  matar	1		a-		a		*ʔak-	fazer,  matar	Chan a-
9	§1	Sharanáwa	Shar	fazer,  matar	1		a-		a		*ʔak-	fazer,  matar	Shar a-
13	§1	Amawáka	A	fazer,  matar			ʔa- 		ʔa- 	CHÁVEZ, 2012	*ʔak-	fazer,  matar	A ʔa- (CHÁVEZ;; 2012)
14	§1	Kaxinawá	Kn	fazer,  matar	1		a-		a		*ʔak-	fazer,  matar	Kn a-
15	§1	Marináwa	M	fazer,  matar	1		a-		a		*ʔak-	fazer,  matar	M a-
17	§1	Korúbo	Ko	fazer,  matar	1		ak-		a k		*ʔak-	fazer,  matar	Ko ak-
18	§1	Matís	Mt	fazer,  matar	1		ak-		a k		*ʔak-	fazer,  matar	Mt ak-
19	§1	Mayorúna	My	fazer,  matar	1		ak-		a k		*ʔak-	fazer,  matar	My ak-
20	§2	Kakataibo	Ksh	macaxeira,  mandioca	1		ʔatsa		ʔ a t s a		*ʔatsa	macaxeira,  mandioca	Ksh ʔatsa
21	§2	ShipiboKonibo	SK	yuca			ʔatsa		ʔ a t s a		*ʔatsa	macaxeira,  mandioca	SK ʔatsa ‘yuca’
22	§2	Kapanawa	Kp	yuca			ʔatsa		ʔ a t s a	 (LOOS; LOOS, 1998	*ʔatsa	macaxeira,  mandioca	Kp ʔatsa ‘yuca’ (LOOS; LOOS;; 1998)
23	§2	Marúbo	Mar	macaxeira,  mandioca	1		atsa		a t s a		*ʔatsa	macaxeira,  mandioca	Mar atsa
24	§2	Chákobo	Ch	macaxeira,  mandioca	1		ʔatsa		ʔ a t s a		*ʔatsa	macaxeira,  mandioca	Ch ʔatsa
27	§2	Chanináwa	Chan	macaxeira,  mandioca	1		atsa --		atsa --		*ʔatsa	macaxeira,  mandioca	Chan atsa --
29	§2	Shanenáwa	Shan	macaxeira,  mandioca	1		atsa		a t s a		*ʔatsa	macaxeira,  mandioca	Shan atsa
30	§2	Katukina	Kat	macaxeira,  mandioca	1		atsa		a t s a		*ʔatsa	macaxeira,  mandioca	Kat atsa
31	§2	Poyanáwa	Poy	macaxeira,  mandioca	1		atsa		a t s a		*ʔatsa	macaxeira,  mandioca	Poy atsa
32	§2	Amawáka	A	macaxeira,  mandioca			ʔatsa 		ʔatsa 	CHÁVEZ, 2012	*ʔatsa	macaxeira,  mandioca	A ʔatsa (CHÁVEZ;; 2012), Atsa I
33	§2	Amawáka	A	macaxeira,  mandioca	1		Atsa I		Atsa I		*ʔatsa	macaxeira,  mandioca	A ʔatsa (CHÁVEZ;; 2012), Atsa I
34	§2	Kaxinawá	Kn	macaxeira,  mandioca	1		atsa		a t s a		*ʔatsa	macaxeira,  mandioca	Kn atsa
35	§2	Marináwa	M	macaxeira,  mandioca			atsa 		atsa 	palabra usada solo por algunos de los ancianos	*ʔatsa	macaxeira,  mandioca	M atsa (palabra usada solo por algunos de los ancianos)
36	§2	Yawanawá	Yaw	macaxeira,  mandioca	1		atsa		a t s a		*ʔatsa	macaxeira,  mandioca	Yaw atsa
37	§2	Korúbo	Ko	nome próprio			Atsa		A t s a		*ʔatsa	macaxeira,  mandioca	Ko Atsa ‘nome próprio’
38	§2	Matís	Mt	mandioca			Atsa		A t s a		*ʔatsa	macaxeira,  mandioca	Mt Atsa ‘mandioca’
40	§3	Kakataibo	Ksh	capivara	1		ʔaˈmɨ᷈		ʔ a ˈm ɨ᷈		*ʔamɨ[n]	capivara	Ksh ʔaˈmɨ᷈
41	§3	ShipiboKonibo	SK	capivara	1		ʔaˈmɨ᷈		ʔ a ˈm ɨ᷈		*ʔamɨ[n]	capivara	SK ʔaˈmɨ᷈
42	§3	Kapanawa	Kp	capivara	1		ʔaˈmɨn		ʔ a ˈm ɨ n		*ʔamɨ[n]	capivara	Kp ʔaˈmɨn
43	§3	Marúbo	Mar	capivara			amɨ 		amɨ 	MNTB- LOOS, s.d.	*ʔamɨ[n]	capivara	Mar amɨ (MNTB- LOOS;; s.d.)
44	§3	Chákobo	Ch	capivara	1		amɨno		a m ɨ n o		*ʔamɨ[n]	capivara	Ch amɨno, amɨ ‘la capyguara’
45	§3	Chákobo	Ch	la capyguara			amɨ		a m ɨ		*ʔamɨ[n]	capivara	Ch amɨno, amɨ ‘la capyguara’
49	§3	Sharanáwa	Shar	capivara	1		amɨn		a m ɨ n		*ʔamɨ[n]	capivara	Shar amɨn
50	§3	Shanenáwa	Shan	capivara	1		aman		a m a n		*ʔamɨ[n]	capivara	Shan aman
51	§3	Katukina	Kat	capivara	1		amɨn		a m ɨ n		*ʔamɨ[n]	capivara	Kat amɨn
53	§3	Amawáka	A	capivara			ʔamɨn 		ʔamɨn 	HYDE, 1980	*ʔamɨ[n]	capivara	A ʔamɨn (HYDE;; 1980)
54	§3	Kaxinawá	Kn	capivara	1		amɨ᷈		a m ɨ᷈		*ʔamɨ[n]	capivara	Kn amɨ᷈
55	§3	Marináwa	M	capivara	1		ˈamɨ᷈		ˈa m ɨ᷈		*ʔamɨ[n]	capivara	M ˈamɨ᷈ , ˈʔamɨno ‘capibara’
56	§3	Marináwa	M	capibara			ˈʔamɨno		ˈʔ a m ɨ n o		*ʔamɨ[n]	capivara	M ˈamɨ᷈ , ˈʔamɨno ‘capibara’
57	§3	Yawanawá	Yaw	capivara	1		aman		a m a n		*ʔamɨ[n]	capivara	Yaw aman
61	§4	Kakataibo	Ksh	capivara			ʔani 		ʔani 	ZARIQUIEY, 2011	*ʔani	grande	Ksh ʔani (ZARIQUIEY;; 2011)
62	§4	ShipiboKonibo	SK	grande	1		ʔani		ʔ a n i		*ʔani	grande	SK ʔani
63	§4	Kapanawa	Kp	grande			ʔani		ʔ a n i		*ʔani	grande	Kp ʔani ‘grande’, wɨˈan ʔani ‘arroyo grande’
64	§4	Kapanawa	Kp	arroyo grande			wɨˈan ʔani		wɨˈan ʔani		*ʔani	grande	Kp ʔani ‘grande’, wɨˈan ʔani ‘arroyo grande’
65	§4	Marúbo	Mar	grande			ani [ˈɐ᷈ni-]		ani [ˈɐ᷈ni-]	 (COSTA, 1992	*ʔani	grande	Mar ani [ˈɐ᷈ni-] ‘grande’ (COSTA;; 1992)
66	§4	Chákobo	Ch	rio grande			ʔani hɨnɨ		ʔani hɨnɨ		*ʔani	grande	Ch ʔani hɨnɨ ‘rio grande’, ani- ‘aumentar’ (ZINGG;; 1998)
67	§4	Chákobo	Ch	aumentar			ani-		a n i	 (ZINGG, 1998	*ʔani	grande	Ch ʔani hɨnɨ ‘rio grande’, ani- ‘aumentar’ (ZINGG;; 1998)
68	§4	Kaxararí	Kax	grande	1		lakihani [lakiɦaˈi]224		lakihani [lakiɦaˈi]224		*ʔani	grande	Kax lakihani [lakiɦaˈi]224
71	§4	Sharanáwa	Shar	grande	1		aniɸo		a n i ɸ o		*ʔani	grande	Shar aniɸo, aniɸoan ‘homem velho;;  ancião’
72	§4	Sharanáwa	Shar	homem velho,  ancião			aniɸoan		a n i ɸ oa n		*ʔani	grande	Shar aniɸo, aniɸoan ‘homem velho;;  ancião’
73	§4	Shanenáwa	Shan	ancião			anihu		a n i h u		*ʔani	grande	Shan anihu ‘ancião’
74	§4	Katukina	Kat	grande			ani-pa		a n i p a		*ʔani	grande	Kat ani-pa ‘grande’
75	§4	Poyanáwa	Poy	homem velho			ãdiβu		ã d i β u		*ʔani	grande	Poy ãdiβu ‘homem velho’
77	§4	Kaxinawá	Kn	anciano,  viejo			anibu		a n i b u		*ʔani	grande	Kn anibu ‘anciano;;  viejo’
79	§4	Yawanawá	Yaw	velho			ani-hu		a n i h u		*ʔani	grande	Yaw ani-hu ‘velho’
80	§4	Korúbo	Ko	pequeno			animatsɨk		a n i m a t s ɨ k		*ʔani	grande	Ko animatsɨk ‘pequeno’
82	§4	Mayorúna	My	pequeno,  delgado			ania		a n ia		*ʔani	grande	My ania ‘pequeno;;  delgado’
83	§5	Kakataibo	Ksh	paca (Cuniculus paca)	1		ʔano		ʔ a n o		*ʔano	paca (Cuniculus paca)	Ksh ʔano
84	§5	ShipiboKonibo	SK	paca (Cuniculus paca)	1		ʔano		ʔ a n o		*ʔano	paca (Cuniculus paca)	SK ʔano
85	§5	Kapanawa	Kp	paca (Cuniculus paca)	1		ʔano		ʔ a n o		*ʔano	paca (Cuniculus paca)	Kp ʔano
87	§5	Chákobo	Ch	jochi pintado			ʔano		ʔ a n o	 (ZINGG, 1998	*ʔano	paca (Cuniculus paca)	Ch ʔano ‘jochi pintado’ (ZINGG;; 1998)
88	§5	Kaxararí	Kax	paca (Cuniculus paca)	1		anawɨ		a n a w ɨ		*ʔano	paca (Cuniculus paca)	Kax anawɨ
89	§5	Yamináwa	Yam	paca (Cuniculus paca)	1		ano		a n o		*ʔano	paca (Cuniculus paca)	Yam ano, anõ ‘majás’
90	§5	Yamináwa	Yam	majás			anõ		a n õ		*ʔano	paca (Cuniculus paca)	Yam ano, anõ ‘majás’
92	§5	Sharanáwa	Shar	paca (Cuniculus paca)	1		ano		a n o		*ʔano	paca (Cuniculus paca)	Shar ano, anon ‘majás’
93	§5	Sharanáwa	Shar	majás			anon		a n o n		*ʔano	paca (Cuniculus paca)	Shar ano, anon ‘majás’
94	§5	Shanenáwa	Shan	paca (Cuniculus paca)	1		anu		a n u		*ʔano	paca (Cuniculus paca)	Shan anu
95	§5	Katukina	Kat	paca (Cuniculus paca)	1		ano		a n o		*ʔano	paca (Cuniculus paca)	Kat ano
97	§5	Amawáka	A	majás,  roedor pequeño			ʔanó		ʔ a n ó	 (HYDE, 1980	*ʔano	paca (Cuniculus paca)	A ʔanó ‘majás;;  roedor pequeño’ (HYDE;; 1980), aˈno I
98	§5	Amawáka	A	paca (Cuniculus paca)	1		aˈno I		aˈno I		*ʔano	paca (Cuniculus paca)	A ʔanó ‘majás;;  roedor pequeño’ (HYDE;; 1980), aˈno I
